"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2636","RT @Anti_charter97: Спасибо Лукашенко от думающего народа за предотвращение Украинского сценария (только коленным железом)...   #ДзеньВолі…",FALSE,0,NA,2017-03-26 03:09:47,FALSE,NA,"845835142086184960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","isterikakaratek",321,TRUE,FALSE,NA,NA
"2637","RT @Anti_charter97: Спасибо Лукашенко от думающего народа за предотвращение Украинского сценария (только коленным железом)...   #ДзеньВолі…",FALSE,0,NA,2017-03-26 03:06:56,FALSE,NA,"845834425497796608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Viknik623",321,TRUE,FALSE,NA,NA
"2638","RT @Anti_charter97: ""Небесной сотни"" в РБ не будет(просто поправят прическу)...
#ДзеньВолі https://t.co/aA5ePAekAY",FALSE,0,NA,2017-03-26 02:48:17,FALSE,NA,"845829732591681536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","torf25",37,TRUE,FALSE,NA,NA
"2639","RT @Anti_charter97: Спасибо Лукашенко от думающего народа за предотвращение Украинского сценария (только коленным железом)...   #ДзеньВолі…",FALSE,0,NA,2017-03-26 02:40:37,FALSE,NA,"845827803903864832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stalker7694",321,TRUE,FALSE,NA,NA
"2640","RT @Anti_charter97: Мирные протесты в США заканчиваются вот так... #ДзеньВолі https://t.co/OBpy03PTus",FALSE,0,NA,2017-03-26 02:39:55,FALSE,NA,"845827625121726464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","torf25",141,TRUE,FALSE,NA,NA
"2641","RT @Christi145lir6: Эти фото впечатляют больше всего #ДзеньВолі #ЖывеБеларусь https://t.co/CXhtUZrRop",FALSE,0,NA,2017-03-26 02:39:05,FALSE,NA,"845827418627739650",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","j_parus",36,TRUE,FALSE,NA,NA
"2642","RT @AlexDobrinin: Не быць скотам!!!
Бегут мимо мусорские, а сябры хором фашисты! фашисты!
#ДзеньВолі https://t.co/LcjGWS3sp6",FALSE,0,NA,2017-03-26 02:39:00,FALSE,NA,"845827395718434816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZloyKotan",178,TRUE,FALSE,NA,NA
"2643","Чуть не забыл. Самое главное. Завтра (уже сегодня) вас должно выйти в 3 раза больше чем сегодня. #ДзеньВолі",FALSE,0,NA,2017-03-26 02:36:34,FALSE,NA,"845826782116925442",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Crejsers",0,FALSE,FALSE,NA,NA
"2644","RT @CleanAuthoritie: Беларусь - День Воли!
Диктатура во ""всеоружии""!!!
#ДзеньВолі https://t.co/Bqcowugz9f",FALSE,0,NA,2017-03-26 02:36:14,FALSE,NA,"845826697450672128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hollydivermax",112,TRUE,FALSE,NA,NA
"2645","RT @Anti_charter97: Мирные протесты в США заканчиваются вот так... #ДзеньВолі https://t.co/OBpy03PTus",FALSE,0,NA,2017-03-26 02:35:18,FALSE,NA,"845826466172559364",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Igar_z_Belarusi",141,TRUE,FALSE,NA,NA
"2646","RT @bel_fayette: По-моему, этот снимок хорошо иллюстрирует происходящее. #деньволи #дзеньволі #25sakavika #25сакавіка #belarus #minsk #welc…",FALSE,0,NA,2017-03-26 02:35:10,FALSE,NA,"845826431334699008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mrtimoshevskiy6",3,TRUE,FALSE,NA,NA
"2647","RT @VKL_Vitayt: С праздником,Беларусь! Так победим! Жыве Беларусь! #25sakavika https://t.co/TFXuLJqcmg",FALSE,0,NA,2017-03-26 02:33:08,FALSE,NA,"845825920409751552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Lots_of_roads",62,TRUE,FALSE,NA,NA
"2648","RT @belamova: Девушку понесли
#ДзеньВолі https://t.co/Sxo5PN7pl6",FALSE,0,NA,2017-03-26 02:31:55,FALSE,NA,"845825613055377408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZloyKotan",232,TRUE,FALSE,NA,NA
"2649","RT @Anti_charter97: Мирные протесты в США заканчиваются вот так... #ДзеньВолі https://t.co/OBpy03PTus",FALSE,0,NA,2017-03-26 02:29:40,FALSE,NA,"845825048816472064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tishkovarv",141,TRUE,FALSE,NA,NA
"2650","Белорусам посоветую брать пример с Украинцев а не с русских. Это если вам нужен результат, а не процесс. #ДзеньВолі",FALSE,0,NA,2017-03-26 02:29:35,FALSE,NA,"845825025584365568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Crejsers",0,FALSE,FALSE,NA,NA
"2651","RT @Kirilenko_a: Срочно: приехали водометы #минск #ДзеньВолі #дармаеды #беларусь https://t.co/tybwAFrZ8J",FALSE,0,NA,2017-03-26 02:28:51,FALSE,NA,"845824842226032641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hiroruki17",159,TRUE,FALSE,NA,NA
"2652","RT @Anti_charter97: Спасибо Лукашенко от думающего народа за предотвращение Украинского сценария (только коленным железом)...   #ДзеньВолі…",FALSE,0,NA,2017-03-26 02:28:40,FALSE,NA,"845824795790852096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tishkovarv",321,TRUE,FALSE,NA,NA
"2653","RT @Kirilenko_a: Максимальный репост, бандиты похищают людей #минск #ДзеньВолі #дармаеды #беларусь https://t.co/xwgXZIexyV",FALSE,0,NA,2017-03-26 02:26:24,FALSE,NA,"845824223251779589",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","am17102",373,TRUE,FALSE,NA,NA
"2654","RT @VVPutin_cat: Мне тут доложили, что оперативники ФСБ насильно усадили Януковича смотреть прямую трансляцию из Минска #ДзеньВолі
Тиран ко…",FALSE,0,NA,2017-03-26 02:25:08,FALSE,NA,"845823907097645056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vladasanas",264,TRUE,FALSE,NA,NA
"2655","RT @svaboda: Яшчэ затрыманьні. Хапалі людзей у мэтро
#ДзеньВолі https://t.co/joCPbiRjec",FALSE,0,NA,2017-03-26 02:24:38,FALSE,NA,"845823779708243969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ValeryShestakov",189,TRUE,FALSE,NA,NA
"2656","RT @Anti_charter97: Спасибо Лукашенко от думающего народа за предотвращение Украинского сценария (только коленным железом)...   #ДзеньВолі…",FALSE,0,NA,2017-03-26 02:22:26,FALSE,NA,"845823224881565696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gerasim1109",321,TRUE,FALSE,NA,NA
"2657","RT @VVPutin_cat: Мне тут доложили, что оперативники ФСБ насильно усадили Януковича смотреть прямую трансляцию из Минска #ДзеньВолі
Тиран ко…",FALSE,0,NA,2017-03-26 02:20:32,FALSE,NA,"845822748953903105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","polinaln",264,TRUE,FALSE,NA,NA
"2658","Комплект из 4 органайзеров <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
цена тут: https://t.co/iMDu8UTzPn
#ДзеньВолі #SUILVA #florbols #xfactordk #sflm17… https://t.co/r2tbLl8X5C",FALSE,0,NA,2017-03-26 02:20:17,TRUE,NA,"845822686525837312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AffordableAli",0,FALSE,FALSE,NA,NA
"2659","Браслеты в виде гвоздя <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>
цена тут: https://t.co/9dRgOmPShx
#Arkadas #HS1isComing #belgre #BrusselsForum #ДзеньВолі… https://t.co/ODqvQCUl3r",FALSE,0,NA,2017-03-26 02:18:17,TRUE,NA,"845822180831215616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AffordableAli",0,FALSE,FALSE,NA,NA
"2660","RT @belamova: Девушку понесли
#ДзеньВолі https://t.co/Sxo5PN7pl6",FALSE,0,NA,2017-03-26 02:07:32,FALSE,NA,"845819475719049219",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","likafrenk",232,TRUE,FALSE,NA,NA
"2661","RT @Kirilenko_a: Максимальный репост, бандиты похищают людей #минск #ДзеньВолі #дармаеды #беларусь https://t.co/xwgXZIexyV",FALSE,0,NA,2017-03-26 02:05:49,FALSE,NA,"845819045555458049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Nak_lon_Serega",373,TRUE,FALSE,NA,NA
"2662","RT @belamova: Девушку понесли
#ДзеньВолі https://t.co/Sxo5PN7pl6",FALSE,0,NA,2017-03-26 02:04:59,FALSE,NA,"845818835726979079",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","glavryb",232,TRUE,FALSE,NA,NA
